dataset,method,metric,value,z_score,severity,likely_cause,action
synthetic_200x100,PCA,Q_local_tsne,0.2047222222222222,-4.631550887486772,medium,extreme-z,rerun
GSE115571_LPSMmDev,TSVD,overall_quality_umap,0.395274461362863,-4.419876940213944,medium,biology,biology
GSE115571_LPSMmDev,TSVD,distance_correlation_umap,0.0867102047547635,-4.417401779089216,medium,biology,biology
GSE115571_LPSMmDev,PCA,distance_correlation_umap,0.0050003740823652,-4.407699427709848,medium,biology,biology
GSE115571_LPSMmDev,NMF,distance_correlation_tsne,0.2062772876894364,-4.36991169964606,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_GAT,overall_quality_umap,0.483316612289453,-4.31719841579104,medium,biology,biology
GSE115571_LPSMmDev,INFO,overall_quality_tsne,0.377066851610248,-4.303804025545555,medium,biology,biology
synthetic_200x100,scCCVGBen_GATv2,overall_quality_tsne,0.4930675841358168,-4.275504159027744,medium,extreme-z,rerun
synthetic_200x100,PCA,overall_quality_tsne,0.3961451670738991,-4.266507307902721,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,anisotropy_score_intrin,0.2327113381596515,-4.26075035995006,medium,extreme-z,rerun
GSE115571_LPSMmDev,DIP,overall_quality_tsne,0.3780860690211982,-4.247974374533967,medium,biology,biology
GSE115571_LPSMmDev,KPCA,distance_correlation_tsne,0.1982311501285807,-4.233078913652407,medium,biology,biology
GSE115571_LPSMmDev,KPCA,Q_global_umap,0.6186615650272316,-4.198230623132026,medium,biology,biology
GSE115571_LPSMmDev,PCA,distance_correlation_tsne,0.1733190892399092,-4.1956913390040045,medium,biology,biology
GSE115571_LPSMmDev,INFO,Q_global_tsne,0.5906514736986546,-4.195011646023389,medium,biology,biology
GSE115571_LPSMmDev,NMF,Q_global_umap,0.6301735525060647,-4.152398876791835,medium,biology,biology
synthetic_200x100,PCA,Q_local_umap,0.2363346891204034,-4.145534520923809,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,manifold_dimensionality_intrin,0.4652981843870159,-4.128368469716002,medium,extreme-z,rerun
GSE115571_LPSMmDev,DIP,overall_quality_umap,0.3899640287786694,-4.118324514121045,medium,biology,biology
GSE115571_LPSMmDev,ICA,overall_quality_umap,0.3189997573738393,-4.111434568091974,medium,biology,biology
GSE115571_LPSMmDev,TC,overall_quality_umap,0.3801023584225882,-4.105868994396351,medium,biology,biology
GSE115571_LPSMmDev,KPCA,overall_quality_tsne,0.4609872745676163,-4.081067161687992,medium,biology,biology
GSE115571_LPSMmDev,NMF,distance_correlation_umap,0.1176397055685357,-4.078949288248,medium,biology,biology
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,PoissonVI,Q_local_tsne,0.2651472222222222,-4.06054551194536,medium,extreme-z,rerun
GSE115571_LPSMmDev,NMF,overall_quality_umap,0.4424640079809572,-4.0493413435737216,medium,biology,biology
GSE125449_new,scCCVGBen_Cheb,distance_correlation_tsne,0.4832771038513264,-4.048142153007169,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,distance_correlation_umap,0.2370683746759859,-4.037588178990928,medium,biology,biology
synthetic_200x100,PCA,Q_global_tsne,0.6065017831498558,-4.024937878672795,medium,extreme-z,rerun
GSE115571_LPSMmDev,TSVD,distance_correlation_tsne,0.2346223310226049,-4.021613845558508,medium,biology,biology
GSE115571_LPSMmDev,TC,Q_global_tsne,0.5878326805081373,-3.9970141259620457,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_GAT,Q_global_umap,0.6212355394347268,-3.995502219795229,medium,biology,biology
GSE130430_new,scCCVGBen_EdgeConv,participation_ratio_intrin,0.5650389178602001,-3.9900157800133704,medium,extreme-z,rerun
GSE115571_LPSMmDev,TSVD,overall_quality_tsne,0.4718288369056475,-3.977640776116249,medium,biology,biology
GSE115571_LPSMmDev,NMF,Q_global_tsne,0.6544424540745468,-3.9738273209393813,medium,biology,biology
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,PoissonVI,Q_local_tsne,0.2748890022675737,-3.955742540126848,medium,extreme-z,rerun
GSE115571_LPSMmDev,TSVD,Q_global_umap,0.6270845584231658,-3.9333140676868465,medium,biology,biology
GSE115571_LPSMmDev,PCA,overall_quality_umap,0.3678264902380334,-3.9331675429240978,medium,biology,biology
GSE117988_MCCPBMCCancer,scCCVGBen_GATv2,manifold_dimensionality_intrin,0.4698440110931369,-3.930933713823288,medium,extreme-z,rerun
GSE235787_bcellsALLHmCancer,scCCVGBen_SAGE,distance_correlation_umap,0.3961743297006044,-3.9267834745584693,medium,extreme-z,rerun
synthetic_200x100,scCCVGBen_GATv2,manifold_dimensionality_intrin,0.4701496858396383,-3.9264263985245176,medium,extreme-z,rerun
GSE115571_LPSMmDev,TC,overall_quality_tsne,0.3754382230358918,-3.9112936878470315,medium,biology,biology
GSE132509_acutelymluekPBMCHmCancer,scCCVGBen_Transformer,distance_correlation_umap,0.3838710124117098,-3.904996653727356,medium,extreme-z,rerun
GSE220840_new,scCCVGBen_Cheb,anisotropy_score_intrin,0.2519471832984736,-3.8767430482245264,medium,extreme-z,rerun
synthetic_200x100,scCCVGBen_GATv2,participation_ratio_intrin,0.4506114481262331,-3.8734099805448947,medium,extreme-z,rerun
GSE130430_new,scCCVGBen_SuperGAT,anisotropy_score_intrin,0.3162705606296493,-3.8213871961531964,medium,extreme-z,rerun
GSE115571_LPSMmDev,ICA,distance_correlation_umap,-0.0667750144436983,-3.8128471536811355,medium,biology,biology
GSE115571_LPSMmDev,KPCA,Q_global_tsne,0.6464798880617666,-3.8019861989202814,medium,biology,biology
GSE115571_LPSMmDev,NMF,overall_quality_tsne,0.4935166757076268,-3.779982311681086,medium,biology,biology
GSE125449_new,scCCVGBen_TAG,distance_correlation_tsne,0.377904194285632,-3.775422052050215,medium,extreme-z,rerun
GSE132509_acutelymluekPBMCHmCancer,scCCVGBen_GATv2,distance_correlation_umap,0.2672655292096451,-3.7489708484627746,medium,extreme-z,rerun
GSE220840_new,scCCVGBen_Cheb,overall_quality_umap,0.6118029189865973,-3.7457119695406527,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GCN,Q_local_umap,0.4773716845500179,-3.741806346651738,medium,biology,biology
synthetic_200x100,PCA,overall_quality_umap,0.3828361280965029,-3.7412271823667247,medium,extreme-z,rerun
GSE115571_LPSMmDev,TSVD,Q_global_tsne,0.6472484120062243,-3.7236663543901813,medium,biology,biology
GSE273423_new,scCCVGBen_EdgeConv,overall_quality_umap,0.6174295150420686,-3.7201095460859084,medium,extreme-z,rerun
GSE115571_LPSMmDev,DIP,spectral_decay_rate_intrin,0.3471753925377702,-3.7126145322970183,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,overall_quality_umap,0.3952775963342323,-3.701116507244925,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_ARMA,Q_local_tsne,0.2194773906268325,-3.691701171884059,medium,biology,biology
GSE193807_new,scCCVGBen_Cheb,distance_correlation_tsne,0.5122093939098635,-3.685299414024982,medium,extreme-z,rerun
GSE220840_new,scCCVGBen_Cheb,overall_quality_tsne,0.5959699254786553,-3.6727658337338718,medium,extreme-z,rerun
GSE222369_NKsLymphomaHmCancer,scCCVGBen_GIN,anisotropy_score_intrin,0.6817256999672929,-3.641079750273385,medium,extreme-z,rerun
GSE125449_new,scCCVGBen_Cheb,distance_correlation_umap,0.5474899426177423,-3.6327607952879717,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,anisotropy_score_intrin,0.0284820300405964,-3.6288217423787974,medium,extreme-z,rerun
GSE225857_liverColonMetasisHmCancer,scCCVGBen_SAGE,distance_correlation_umap,0.4303496884717281,-3.607475674662656,medium,extreme-z,rerun
GSE273423_new,scCCVGBen_EdgeConv,participation_ratio_intrin,0.58786649429425,-3.595207283778523,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GATv2,overall_quality_umap,0.5273430519252514,-3.575861192816522,medium,biology,biology
GSE220840_new,scCCVGBen_Cheb,Q_local_tsne,0.3864422965970625,-3.573310405030647,medium,extreme-z,rerun
GSE283554_new,scCCVGBen_GATv2,distance_correlation_tsne,0.2741806873586355,-3.5723529136598335,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,Q_local_tsne,0.2236666666666666,-3.5589564144107775,medium,biology,biology
GSE115571_LPSMmDev,PCA,Q_global_umap,0.6180600840865896,-3.556544936549144,medium,biology,biology
GSE115571_LPSMmDev,TC,anisotropy_score_intrin,0.0233841441754415,-3.540119898734973,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_ARMA,Q_global_umap,0.601273333848293,-3.504536929382976,medium,biology,biology
GSE273423_new,scCCVGBen_EdgeConv,overall_quality_tsne,0.5810153248713732,-3.502235450259568,medium,extreme-z,rerun
GSE149655_CAHmCancer,DIP,overall_quality_intrin,0.1295179474600127,-3.483987310746761,medium,extreme-z,rerun
GSE220840_new,scCCVGBen_Cheb,Q_local_umap,0.3923072460503704,-3.48150798678274,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_ARMA,Q_local_umap,0.2272159389350382,-3.4730696758330852,medium,biology,biology
GSE283554_new,scCCVGBen_SAGE,distance_correlation_tsne,0.4620258295263543,-3.470594460406028,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,Q_local_umap,0.2315693835538582,-3.467630325334706,medium,biology,biology
GSE115571_LPSMmDev,INFO,participation_ratio_intrin,0.0066430509043782,-3.4623357000601254,medium,extreme-z,rerun
GSE115571_LPSMmDev,ICA,Q_global_tsne,0.612285723091822,-3.4610960223713416,medium,biology,biology
GSE115571_LPSMmDev,DIP,overall_quality_intrin,0.1302727052412631,-3.4499625048740015,medium,extreme-z,rerun
GSE115571_LPSMmDev,ICA,distance_correlation_tsne,0.0612211435336622,-3.4399864731792027,medium,biology,biology
GSE130430_new,scCCVGBen_EdgeConv,manifold_dimensionality_intrin,0.5211539035586437,-3.4236871183373276,medium,extreme-z,rerun
synthetic_200x100,scCCVGBen_GATv2,anisotropy_score_intrin,0.2968062972218431,-3.4228865361317413,medium,extreme-z,rerun
GSE115571_LPSMmDev,PCA,overall_quality_tsne,0.4511842522517534,-3.4214181408544033,medium,biology,biology
GSE283205_hepatoblastomaCancer,scVI,manifold_dimensionality_intrin,0.2710281623122592,-3.4047189044469044,medium,extreme-z,rerun
synthetic_200x100,scCCVGBen_GATv2,Q_global_tsne,0.6632477052925603,-3.3969472452307685,medium,extreme-z,rerun
GSE132509_acutelymluekPBMCHmCancer,scCCVGBen_Transformer,overall_quality_umap,0.5943116516374252,-3.395815554167291,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_SuperGAT,Q_local_umap,0.5403972257253831,-3.382941803613162,medium,biology,biology
GSE165844_LSKMmBatch,scCCVGBen_EdgeConv,Q_local_tsne,0.3792013708513708,-3.3800541771151162,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GATv2,Q_global_umap,0.6562466030049184,-3.362771480949355,medium,biology,biology
GSE115571_LPSMmDev,TC,Q_local_umap,0.2210574893577422,-3.3622026609270117,medium,biology,biology
ifnHSPC_GSE226824,scVI,manifold_dimensionality_intrin,0.2728872331533725,-3.3553224058803344,medium,extreme-z,rerun
GSE115571_LPSMmDev,scVI,Q_global_tsne,0.6117059926477335,-3.354454353767059,medium,biology,biology
synthetic_200x100,PCA,anisotropy_score_intrin,0.0337635344774154,-3.3479249100057222,medium,extreme-z,rerun
GSE165844_LSKMmBatch,scCCVGBen_EdgeConv,overall_quality_tsne,0.5893638785508172,-3.3458746244851847,medium,extreme-z,rerun
GSE115571_LPSMmDev,DIP,anisotropy_score_intrin,0.0205635013498149,-3.344130587034231,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_EdgeConv,distance_correlation_umap,0.6236169774808553,-3.3399605240914845,medium,biology,biology
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,PoissonVI,ASW,0.0833725,-3.332511265159087,medium,extreme-z,rerun
GSE273423_new,scCCVGBen_EdgeConv,manifold_dimensionality_intrin,0.527072364546012,-3.3303236270054115,medium,extreme-z,rerun
GSM5975166_Arm_d200_filtered_peak_bc_matrix,scCCVGBen,participation_ratio_intrin,0.5186799847153865,-3.32968064500454,medium,extreme-z,rerun
GSE115571_LPSMmDev,highBeta,Q_global_tsne,0.5849067387399901,-3.329588130610648,medium,biology,biology
synthetic_200x100,PCA,Q_global_umap,0.6287811170260433,-3.328436938252772,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,Q_global_umap,0.6547799121323482,-3.324696828191074,medium,biology,biology
GSE130430_new,scCCVGBen_GCN,anisotropy_score_intrin,0.326908406760869,-3.3171104486834495,medium,extreme-z,rerun
GSE165844_LSKMmBatch,scCCVGBen_EdgeConv,Q_local_umap,0.4107048907743481,-3.314560799131693,medium,extreme-z,rerun
ifnHSPC_GSE226824,scCCVGBen_GIN,Q_local_umap,0.1067053055586388,-3.3020262243347522,medium,extreme-z,rerun
GSM8196958_MCF7_2_1_filtered_peak_bc_matrix,scCCVGBen,overall_quality_umap,0.6180243622291094,-3.293625623981608,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_ARMA,DAV,0.6050426157609241,-3.2873658977710547,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,overall_quality_umap,0.5471129727807681,-3.2868592393991647,medium,biology,biology
GSE130430_new,scCCVGBen_SuperGAT,participation_ratio_intrin,0.5320745185809584,-3.2819855941250355,medium,extreme-z,rerun
GSE115571_LPSMmDev,highBeta,overall_quality_tsne,0.3706591736282762,-3.2769903828560323,medium,biology,biology
setty,scCCVGBen_GIN,participation_ratio_intrin,0.3748119323854859,-3.2701344630653524,medium,extreme-z,rerun
GSE273423_new,scCCVGBen_EdgeConv,Q_local_tsne,0.3884896329365079,-3.2655528576093764,medium,extreme-z,rerun
GSM6071618_filtered_peak_bc_matrix_fl09,scCCVGBen,overall_quality_umap,0.6194938864389289,-3.262267106096113,medium,extreme-z,rerun
GSE208074_new,scCCVGBen_TAG,Q_local_tsne,0.5432793934596722,-3.2619551533426785,medium,extreme-z,rerun
ifnHSPC_GSE226824,scCCVGBen_GIN,overall_quality_umap,0.3527681821365524,-3.260192393683799,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,spectral_decay_rate_intrin,0.3516953595525744,-3.25961827011781,medium,extreme-z,rerun
GSE273423_new,scCCVGBen_EdgeConv,distance_correlation_umap,0.6294095995531618,-3.259338679221385,medium,extreme-z,rerun
synthetic_200x100,scCCVGBen_GAT,Q_local_umap,0.5182747776541029,-3.2590194399329464,medium,extreme-z,rerun
GSE235787_bcellsALLHmCancer,scCCVGBen_SAGE,overall_quality_umap,0.606853114761133,-3.2557068259446615,medium,extreme-z,rerun
GSE283205_hepatoblastomaCancer,scCCVGBen_GIN,manifold_dimensionality_intrin,0.5632637151487389,-3.250732441337048,medium,extreme-z,rerun
GSE115571_LPSMmDev,highBeta,overall_quality_umap,0.3792869686892268,-3.2410314818233545,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_GAT,spectral_decay_rate_intrin,0.4551781810613974,-3.2407701634775083,medium,extreme-z,rerun
GSE115571_LPSMmDev,INFO,trajectory_directionality_intrin,0.1195195610155392,-3.2325342721587127,medium,extreme-z,rerun
GSE115571_LPSMmDev,ICA,overall_quality_tsne,0.4000446488970223,-3.2223602670391536,medium,biology,biology
GSE115571_LPSMmDev,TC,distance_correlation_umap,0.2585978615577823,-3.2181699580619028,medium,biology,biology
GSE283205_hepatoblastomaCancer,scCCVGBen_Cheb,distance_correlation_umap,0.5821378407564606,-3.2144727175465198,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_Graph,overall_quality_umap,0.5277331041030883,-3.2015069927894375,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_GATv2,Q_global_umap,0.6645132700829571,-3.1963500953033086,medium,biology,biology
GSE225857_liverColonMetasisHmCancer,scCCVGBen_Transformer,distance_correlation_umap,0.4613027706148143,-3.1963405131076223,medium,extreme-z,rerun
GSE115571_LPSMmDev,PCA,Q_global_tsne,0.6422121192457461,-3.1953764032421867,medium,biology,biology
GSE115571_LPSMmDev,highBeta,Q_local_umap,0.2222071804371746,-3.1929835792279437,medium,biology,biology
GSM8196958_MCF7_2_1_filtered_peak_bc_matrix,scCCVGBen,distance_correlation_umap,0.6529616857251447,-3.192605057952081,medium,extreme-z,rerun
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,PoissonVI,overall_quality_tsne,0.5132041334757166,-3.1838458934131935,medium,extreme-z,rerun
GSE192857_hESCHmTimes,scCCVGBen_GIN,distance_correlation_tsne,0.0496434748778076,-3.1803196177616453,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_SG,Q_local_tsne,0.5669740740740741,-3.178867502850358,medium,biology,biology
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,PoissonVI,ASW,0.094664104,-3.1737005369167286,medium,extreme-z,rerun
GSE115571_LPSMmDev,highBeta,anisotropy_score_intrin,0.0191894446165249,-3.164749264442165,medium,extreme-z,rerun
GSE283554_new,scCCVGBen_GATv2,overall_quality_tsne,0.5585446258402599,-3.164608118470143,medium,extreme-z,rerun
synthetic_200x100,PCA,participation_ratio_intrin,0.0096647795344825,-3.163315037868879,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_EdgeConv,overall_quality_umap,0.644389887930854,-3.158501428622255,medium,biology,biology
GSE115571_LPSMmDev,scCCVGBen_GATv2,distance_correlation_umap,0.3425119178581199,-3.1566016294761905,medium,biology,biology
GSE189357_new,scCCVGBen_SSG,Q_local_tsne,0.5771904686538082,-3.149323708295782,medium,extreme-z,rerun
ifnHSPC_GSE226824,scCCVGBen_GIN,Q_global_umap,0.5530877207287044,-3.1478157758355527,medium,extreme-z,rerun
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,PoissonVI,overall_quality_tsne,0.5160189205204905,-3.1448530420066283,medium,extreme-z,rerun
GSE115571_LPSMmDev,TC,Q_global_umap,0.6606517243522401,-3.1372146805359726,medium,biology,biology
GSE165844_LSKMmBatch,scCCVGBen_EdgeConv,Q_global_tsne,0.724590166453916,-3.1365397388724827,medium,extreme-z,rerun
GSE283554_new,scCCVGBen_TAG,distance_correlation_umap,0.463023311630875,-3.1271979562340255,medium,extreme-z,rerun
GSE115571_LPSMmDev,DIP,participation_ratio_intrin,0.0038175913456803,-3.1257583358215255,medium,extreme-z,rerun
GSE115571_LPSMmDev,TC,Q_local_tsne,0.2334444444444444,-3.1215929811174896,medium,biology,biology
GSE220840_new,scCCVGBen_Cheb,spectral_decay_rate_intrin,0.4552060644437803,-3.1183262802785228,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_Graph,distance_correlation_tsne,0.4317493661370923,-3.113880697634825,medium,biology,biology
GSE149655_CAHmCancer,DIP,spectral_decay_rate_intrin,0.3573089180709371,-3.1026395139980845,medium,extreme-z,rerun
GSE115571_LPSMmDev,TC,participation_ratio_intrin,0.0054242187422698,-3.1006010477588517,medium,extreme-z,rerun
GSE165844_LSKMmBatch,scCCVGBen_EdgeConv,overall_quality_umap,0.6475150216006268,-3.093402164441328,medium,extreme-z,rerun
GSE247719_PanSci_T_cell_adata,DIP,anisotropy_score_intrin,0.056939014025599,-3.0932727827546396,medium,extreme-z,rerun
GSE149655_CAHmCancer,DIP,anisotropy_score_intrin,0.0582750370180606,-3.0840591175798506,medium,extreme-z,rerun
GSE273423_new,scCCVGBen_EdgeConv,Q_global_tsne,0.7268386224240397,-3.078607980950527,medium,extreme-z,rerun
GSE115571_LPSMmDev,highBeta,Q_local_tsne,0.2298666666666666,-3.0772358729633775,medium,biology,biology
GSE115571_LPSMmDev,TC,distance_correlation_tsne,0.3050375441550937,-3.072463840573252,medium,biology,biology
GSE115571_LPSMmDev,DIP,Q_local_tsne,0.2305122222222221,-3.0680081345293093,medium,biology,biology
GSE193807_new,scCCVGBen_Cheb,Q_global_tsne,0.7513137379063981,-3.0576305807189033,medium,extreme-z,rerun
GSM8196958_MCF7_2_1_filtered_peak_bc_matrix,scCCVGBen,Q_global_umap,0.7551141171853426,-3.0568982761347736,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_Graph,ASW,0.1336440443992614,-3.054568762038689,medium,extreme-z,rerun
GSE132509_acutelymluekPBMCHmCancer,scCCVGBen_Graph,distance_correlation_umap,0.3675703566660407,-3.0489086300732464,medium,extreme-z,rerun
